Name,Size (Imperial),Size (Metric),Calories,Calories From Fat,Total Fat,% Fat Daily Value,Saturated Fat,% Saturated Fat Daily Value,Trans Fat,Cholesterol,% Cholesterol Daily Value,Sodium,% Sodium Daily value,Carbohydrates,% Carbohydrates Daily Value,Dietary Fiber,% Dietary Fiber Daily Value,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Coca-Cola® Classic (Small),16,473,150,0,0,0,0,0,0,0,0,10,0,40,13,0,0,40,0,0,0,0,0
Diet Coke® (Small),16,473,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
Dr Pepper® (Small),16,473,150,0,0,0,0,0,0,0,0,50,2,39,13,0,0,39,0,0,0,0,0
Diet Dr Pepper® (Small),16,473,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0,0,0
Sprite® (Small),16,473,150,0,0,0,0,0,0,0,0,40,2,39,13,0,0,39,0,0,0,0,0
Hi-C® Orange Lavaburst (Small),16,473,160,0,0,0,0,0,0,0,0,5,0,44,15,0,0,44,0,0,150,0,0
Minute Maid® Orange Juice (Medium),16,473,190,0,0,0,0,0,0,0,0,0,0,39,13,0,0,39,3,0,180,4,0
POWERade® Mountain Blast (Small),16,473,100,0,0,0,0,0,0,0,0,85,4,27,9,0,0,21,0,0,0,0,0
Iced Tea (Small),16,473,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Sweet Tea (Medium),21,621,180,0,0,0,0,0,0,0,0,10,0,45,15,0,0,45,1,0,0,0,0
Coffee (Small),12,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iced Coffee-- Caramel (Small),16,473,130,50,5,8,3.5,17,0,20,7,80,3,21,7,0,0,20,1,4,0,4,0
Iced Coffee-- Hazelnut (Small),16,473,130,50,5,8,3.5,17,0,20,7,40,2,21,7,0,0,21,1,6,0,4,0
Iced Coffee-- Regular (Small),16,473,140,50,5,8,3.5,17,0,20,7,40,2,22,7,0,0,22,1,4,0,4,0
Iced Coffee--Vanilla (Small),16,473,130,50,5,8,3.5,17,0,20,7,40,2,21,7,0,0,21,1,4,0,4,0
Coca-Cola® Classic (Child),12,355,110,0,0,0,0,0,0,0,0,5,0,29,10,0,0,29,0,0,0,0,0
Coca-Cola® Classic (Large),32,946,310,0,0,0,0,0,0,0,0,20,1,86,29,0,0,86,0,0,0,0,0
Coca-Cola® Classic (Medium),21,621,210,0,0,0,0,0,0,0,0,15,1,58,19,0,0,58,0,0,0,0,0
Coffee (Large),16,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diet Coke® (Child),12,355,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Diet Coke® (Large),32,946,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,0,0,0,0,0
Diet Coke® (Medium),21,621,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0
Diet Dr Pepper® (Child),12,355,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0
Diet Dr Pepper® (Large),32,946,0,0,0,0,0,0,0,0,0,110,5,0,0,0,0,0,0,0,0,0,0
Diet Dr Pepper® (Medium),21,621,0,0,0,0,0,0,0,0,0,75,3,0,0,0,0,0,0,0,0,0,0
Dr Pepper® (Child),12,355,110,0,0,0,0,0,0,0,0,35,2,28,9,0,0,28,0,0,0,0,0
Dr Pepper® (Large),32,946,310,0,0,0,0,0,0,0,0,110,5,83,28,0,0,83,0,0,0,0,0
Dr Pepper® (Medium),21,621,210,0,0,0,0,0,0,0,0,75,3,56,19,0,0,56,0,0,0,0,0
Hi-C® Orange Lavaburst (Child),12,355,120,0,0,0,0,0,0,0,0,0,0,32,11,0,0,32,0,0,110,0,0
Hi-C® Orange Lavaburst (Large),32,946,350,0,0,0,0,0,0,0,0,10,0,94,31,0,0,94,0,0,320,0,0
Hi-C® Orange Lavaburst (Medium),21,621,240,0,0,0,0,0,0,0,0,10,0,64,21,0,0,64,0,0,210,0,0
Iced Coffee with Sugar Free Vanilla Syrup (Large),32,946,120,100,11,17,7,34,0,40,14,140,6,16,5,0,0,2,2,8,0,8,0
Iced Coffee with Sugar Free Vanilla Syrup (Medium),22,651,90,70,8,13,5,26,0,30,11,100,4,11,4,0,0,2,2,6,0,6,0
Iced Coffee with Sugar Free Vanilla Syrup (Small),16,473,60,50,5,8,3.5,17,0,20,7,70,3,8,3,0,0,1,1,4,0,4,0
